codbco,agencia,banco,cidade,uf,usultalteracao,dtultimalteracao,dtcadastro,agencia_cedente,codbcoblt,convenio,carteira_cobranca,variacao_carteira
396,0174.409,UNIBANCO,BARRETOS-SP,,,,,,,,,
397,0059.048,BEMGE,B H-MG,,,,,,,,,
398,0114.048,BEMGE,BAMBUI-GO,,,,,,,,,
399,0047.275,BANCO REAL,BARRETOS-SP,,,,,,,,,
400,1611.341,ITAU,UDI-MG,,,,,,,,,
401,0107.151,N BCO/CX,CATANDUVA-SP,,,,,,,,,
402,0784.048,BEMGE,STA VITORIA-MG,,,,,,,,,
403,0576.033,BANESPA,JUNDIAI-SP,,,,,,,,,
404,0608.409,UNIBANCO,ITBA-MG,,,,,,,,,
405,1941.237,BRADESCO,U V GRANDE-MT,,,,,,,,,
406,0514.275,BANCO REAL,SAO GOTARDO-MG,,,,,,,,,
407,0067.389,MERCANTIL,UBERABA-MG,,,,,,,,,
408,0126.003,BASA,ARAGUAINA-TO,,,,,,,,,
409,3261.001,BANCO DO BRASIL,PIRANJI-SP,,,,,,,,,
410,0129.422,SAFRA,SERTAOZINHO-SP,,,,,,,,,
411,0044.341,ITAU,SERTAOZINHO-SP,,,,,,,,,
412,0183.033,BANESPA,SERTAOZINHO-SP,,,,,,,,,
413,1602.399,BMU,ALFENAS-MG,,,,,,,,,
414,0422.001,BANCO DO BRASIL,FRUTAL-MG,,,,,,,,,
415,3254.237,BRADESCO,ITAPAGIPE-MG,,,,,,,,,
416,2475.001,BANCO DO BRASIL,POMPEU-MG,,,,,,,,,
417,1481.237,BRADESCO,NOVA VENECIA-ES,,,,,,,,,
418,0187.048,BEMGE,L PRATA-MG,,,,,,,,,
419,0151.392,FINASA,SOROCABA-SP,,,,,,,,,
420,0039.282,BBC,GOIANIA-GO,,,,,,,,,
421,0009.033,BANESPA,FRANCA-SP,,,,,,,,,
423,0204.001,BANCO DO BRASIL,UBERLANDIA-MG,,,,,,,,,
424,0521.399,HSBC,RIO VERDE,,,,,,,,,
425,0526.001,BANCO DO BRASIL,QUIRINOPOLIS,,,,,,,,,
426,0566.104,CAIXA ECONOMICA FEDERAL,RIO VERDE,,,,,,,,,
427,0136.033,BANESPA,ILHA SOLTEIRA,,,,,,,,,
428,0221.001,BANCO DO BRASIL,RIO VERDE,,,,,,,,,
429,1619.409,UNIBANCO,RIO VERDE,,,,,,,,,
430,3290.237,BRADESCO,RIO VERDE,,,,,,,,,
431,0171.275,BANCO REAL,JATAI,,,,,,,,,
432,3775.001,BANCO DO BRASIL,MONTIVIDIU,,,,,,,,,
433,0023.031,BEG,RIO VERDE,,,,,,,,,
434,0330.392,MERCANTIL SAO P,RIO VERDE,,,,,,,,,
435,0690.001,BANCO DO BRASIL,SHEGO,,,,,,,,,
436,3289.237,BRADESCO,SHEGO,,,,,,,,,
437,0656.001,BANCO DO BRASIL,MINEIROS,,,,,,,,,
438,0659.001,BANCO DO BRASIL,MINEIROS,,,,,,,,,
439,0519.399,HSBC,MINEIROS,,,,,,,,,
440,0503.033,BANESPA,URANIA,,,,,,,,,
441,1705.001,BANCO DO BRASIL,CALDAS NOVAS,,,,,,,,,
442,3054.756,BCOOB,RIO VERDE,,,,,,,,,
443,3743.001,BANCO DO BRASIL,MAURILANDIA,,,,,,,,,
444,0656.275,BANCO REAL,RIO VERDE,,,,,,,,,
445,2938.356,ITAU,ITBA,,,,,,,,,
446,0644.237,BRADESCO,ACREUNA,,,,,,,,,
447,0954.399,HSBC,SHEGO,,,,,,,,,
448,0311.001,BANCO DO BRASIL,CATALAO,,,,,,,,,
449,1254.104,CAIXA ECONOMICA FEDERAL,SHEGO,,,,,,,,,
450,0871.104,CAIXA ECONOMICA FEDERAL,MINEIROS,,,,,,,,,
451,0656.356,BANCO REAL,RIO VERDE,,,,,,,,,
452,1308.104,CAIXA ECONOMICA FEDERAL,BARRA DO GARCA-MT,,,,,,,,,
453,3502.748,UNICRED,RIO VERDE,,,,,,,,,
454,0579.237,BRADESCO,BOM JESUS,,,,,,,,,
455,0024.031,BEG,SHEGO,,,,,,,,,
456,0134.031,BEG,MONTIVIDIU,,,,,,,,,
457,0900.001,BANCO DO BRASIL,BOM JESUS,,,,,,,,,
458,0069.031,BEG,MINEIROS,,,,,,,,,
