codfamilia,descricao,tipo
4261,CIG SOUZA CRUZ FRRE KENT CONTROL,P
4540,KIT TINT MAXTON,P
4560,HARPIC PEDRA SANITARIA 20G,P
4580,MORDEDOR NEOPAN,P
4621,ODORIZ GLADE 360ML,P
4721,NUTRY FRUTAS,P
3860,AMAC TUFF 3L,P
3920,DESODO REXONA CLINICAL 48G,P
3921,CANETA BIC CRISTAL,P
3940,AMAC ESTRELA 2L,P
4104,FIO DENTAL JOHNSON 50M,P
4105,COLONIA JOHNSONS BABY 200ML,P
4106,COND GARNIER FRUCTIS ANTICASPA,P
4107,IOG CANTO MINAS GREGO DUO 100G,P
4108,IOG CANTO MINAS GREGO DUO 120G,P
4109,COALHADA CANTO MINAS 0% LACTOSE 500G,P
4160,SH PLUSBELLE 1L,P
4161,COND PLUSBELLE 1L,P
4300,CORPUS 170G,P
4401,CHOC LACTA 90G,P
4421,TALENTO 90G,P
4460,DETERG SURF 500G,P
4640,ENERGETICO MONSTER 473ML,P
4681,SH BIOHAIR 350ML,P
4682,COND BIOHAIR 350ML,P
4683,CREME TRAT BIOHAIR 400G,P
4684,CREME PENT BIOHAIR 300G,P
4686,KIT BIOHAIR COND/SH 350ML,P
4780,DANONINHO P/BEB 100G,P
4880,AROMA COALA SPRAY 120ML,P
4881,AROMA COALA 140ML,P
4900,AMPOLA REALVAZON 10ML,P
4940,DESOD MONANGE 150ML,P
4941,HIDRAT MONANGE 400ML,P
3843,TORRADA VISCONTI 140G,P
4000,SACO LIXO SANTA MARIA VIP,P
4021,ESCOVA DENT TIMES,P
4022,SAB PALMOLIVE 270G,P
4027,PAPEL HIG DUETTO FD 50M,P
4100,HIDRAT DOVE 400ML,P
4140,SH JOHNSON CRESCIDINHOS 200ML,P
4180,MIST BOLO VILMA S/ACUCAR 340G,P
4181,MAC VILMA SEMOLA 500G,P
4182,MAC VILMA INT 500G,P
4200,BISC QUAKER 140G,P
4220,BATATA PRINGLES 128G,P
4320,TEST1,S
4340,IOG ACTIVIA 0% 1.250G,P
4360,DANONE GREGO 600G,P
4361,DANONINHO 320G,P
4440,BARRINHA KODILAR 25G,P
4480,INSETICIDA RAID 45N REFIL,P
4520,SOUZA CRUZ DUNHILL FINE CUT,P
4620,MARTINI 965ML,P
4740,CASAFLOR 1.75L,P
4760,RESTAURANTE,D
4801,CREME P/PENTEAR PANTENE 240G,P
4802,KIT HEAD & SHOULDERS 200ML,P
4803,DESOD OLD SPICE 93G/150ML,P
4804,DESOD GILLETTE AER 93G/150ML,P
4840,CREME MEL SORV 1.8L,P
4841,SORVETE CREME MEL 1.5L,P
4860,SORVETE VARIATTA 1.8L,P
4861,SORVETE PERFETTO 2L,P
4862,SORVETE VARIATTA 1L,P
4920,PRESERVATIVO OLLA 3UN,P
3780,SAB DOVE 90G,P
3800,DESOD JOHNSONS AER,P
3820,NUGGETS 300G,P
3941,CIG SOUZA DUNHILL KS,P
3942,CIG SOUZA DUNHILL BOX,P
4023,CIF CREMOSO 500ML,P
4024,CHOC LACTA 20G,P
4025,CERA DEP IPHIGENY 500G,P
4026,CIF CREM 250ML,P
4080,COOKIES TODDY 150G,P
4120,COLONIA JOHNSONS 200ML,P
4240,NESFIT 200G,P
4241,BARRA CEREAL NESFIT 60G,P
4280,ODORIZ GLADE RF 12ML,P
4380,REXONA 64G,P
4500,CR DENT CONTENTE KIDS 50G,P
4602,SABOR VIDA,S
4603,SABOR VIDA 100G,P
4605,SABOR VIDA 85G,P
4660,KIBON MOUSSE 1.5L,P
4700,PALHEIROS CANARINHO,P
4701,PALHEIROS L7,P
4702,PALHEIROS CANARINHO SLIM,P
4821,AMPOLA PANTENE 15ML,P
5185,LINGUICAS ESPECIAIS,S
5244,CLUB SOCIAL 80G,P
5405,MASCARA BOTHANICO 250G,P
5040,DELVALLE GOIABA/MANGA INTEGRAL 1 LT,P
5042,SUCO DELVALLE MANGA/GOIABA 1 LT,P
5063,FRALDA PANTEX PACOTAO,P
5205,LINGUICAS ESPECIAIS,P
5206,LINGUICAS ESPECIAIS,S
5210,SAB NIVEA CX 90G,P
5243,SAB LIQ PROTEX,P
5263,MOLHO LIZA SALADA,P
5283,KAMILA,P
5303,BATATA PALHA RIBSNACK 40G,P
5304,BATATA RIBSNACK 90G,P
5343,VEJA PERF 1L 30%,P
5363,COND CLEAR 400ML,P
5384,SORVETE CREME MEL 1.5L,P
5403,SH BOTHANICO 200ML,P
5404,COND BOTHANICO 250ML,P
